"","series","baker_first_name","baker_last_name","baker_age","baker_occupation","hometown","episode","technical","result","signature_bake","show_stopper"
"1",1,"Annetha","Mills",30,"Midwife","Essex",1,2,"IN","Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
"2",1,"David","Chambers",31,"Entrepreneur","Milton Keynes",1,3,"IN","Chocolate Orange Cake","Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
"3",1,"Edd","Kimber",24,"Debt collector for Yorkshire Bank","Bradford",1,1,"IN","Caramel Cinnamon and Banana Cake",NA
"4",1,"Jasminder","Randhawa",45,"Assistant Credit Control Manager","Birmingham",1,NA,"IN","Fresh Mango and Passion Fruit Hummingbird Cake",NA
"5",1,"Jonathan","Shepherd",25,"Research Analyst","St Albans",1,9,"IN","Carrot Cake with Lime and Cream Cheese Icing","Three Tiered White and Dark Chocolate with Almond and Cherry"
"6",1,"Louise","Brimelow",44,"Police Officer","Manchester",1,NA,"IN","Carrot and Orange Cake","Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
"7",1,"Miranda","Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex",1,8,"IN","Triple Layered Brownie Meringue Cake
with Raspberry Cream","Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations"
"8",1,"Ruth","Clemens",31,"Retail manager/Housewife","Poynton, Cheshire",1,NA,"IN","Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd","Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles"
"9",1,"Lea","Harris",51,"Retired","Midlothian, Scotland",1,10,"OUT","Cranberry and Pistachio Cakewith Orange Flower Water Icing","Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit"
"10",1,"Mark","Whithers",48,"Bus Driver","South Wales",1,NA,"OUT","Sticky Marmalade Tea Loaf","Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses."
"11",1,"David","Chambers",31,"Entrepreneur","Milton Keynes",2,8,"IN","Cheddar Cheese and Fresh Rosemary Biscuits","Choux Pastry Swans  Chocolate Profiteroles"
"12",1,"Edd","Kimber",24,"Debt collector for Yorkshire Bank","Bradford",2,6,"IN","Oatmeal Raisin Cookie","Pink Macarons"
"13",1,"Jasminder","Randhawa",45,"Assistant Credit Control Manager","Birmingham",2,2,"IN","Millionaires' Shortbread","Meringues with Chocolate and Space DustCoffee flavoured Eclairs"
"14",1,"Jonathan","Shepherd",25,"Research Analyst","St Albans",2,1,"IN","Honey and Candied Ginger Cookies","Meringues with Whiskey Cream"
"15",1,"Miranda","Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex",2,3,"IN","Fresh Vanilla Biscuits with Royal Icing","Pistachio Macarons"
"16",1,"Ruth","Clemens",31,"Retail manager/Housewife","Poynton, Cheshire",2,5,"IN","Peanut Shortbread withSalted Peanut Caramel","Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs"
"17",1,"Annetha","Mills",30,"Midwife","Essex",2,7,"OUT","Rose Petal Shortbread","Pink Swirl Macarons / Eclairs"
"18",1,"Louise","Brimelow",44,"Police Officer","Manchester",2,4,"OUT","Stained Glass Window Shortbread","Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
"19",1,"Lea","Harris",51,"Retired","Midlothian, Scotland",2,NA,NA,NA,NA
"20",1,"Mark","Whithers",48,"Bus Driver","South Wales",2,NA,NA,NA,NA
"21",1,"David","Chambers",31,"Entrepreneur","Milton Keynes",3,4,"IN","Chilli Bread","Walnut and Seed Roll
Red Berry and Almond Bun"
"22",1,"Edd","Kimber",24,"Debt collector for Yorkshire Bank","Bradford",3,1,"IN","Olive Bread","Tomato and Mozzarella"
